"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\Cart\Cart.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 0, 0, 2, 15, 96
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\Home\Home.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 6, 26
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\MyOrders\MyOrders.css", "PostCSS", 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\MyOrders\MyOrders.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 9, 61
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\PlaceOrder\PlaceOrder.css", "PostCSS", 0, 89, 0, 0, 0, 0, 0, 12, 15, 116
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\PlaceOrder\PlaceOrder.jsx", "JavaScript JSX", 0, 0, 243, 0, 0, 0, 0, 5, 32, 280
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\Success\Success.css", "PostCSS", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\Success\Success.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 920, 1214, 1235, 18, 27, 9053, 27, 176, 531, 13201
